"Geographic Area Name (Grouping)","4/1/2010 Census population!!Population","4/1/2010 population estimates base!!Population","7/1/2010 population estimate!!Population","7/1/2011 population estimate!!Population","7/1/2012 population estimate!!Population","7/1/2013 population estimate!!Population","7/1/2014 population estimate!!Population","7/1/2015 population estimate!!Population","7/1/2016 population estimate!!Population","7/1/2017 population estimate!!Population","7/1/2018 population estimate!!Population","7/1/2019 population estimate!!Population"
"Salem, OH Micro Area","107,841","107,852","107,890","107,419","106,620","105,959","105,621","104,714","103,817","103,062","102,473","101,883"
"Salem, OR Metro Area","390,738","390,738","391,479","393,978","396,076","398,015","402,092","408,022","416,818","424,242","430,404","433,903"
"Salina, KS Micro Area","61,697","61,695","61,876","61,842","61,858","61,794","61,541","61,363","60,860","60,325","60,139","59,928"
"Salinas, CA Metro Area","415,057","415,059","416,373","420,456","424,788","426,712","428,475","430,552","433,953","434,534","433,950","434,061"
"Salisbury, MD-DE Metro Area","373,802","373,754","374,821","378,196","381,216","384,567","388,766","393,526","398,676","404,155","409,999","415,726"
"Salt Lake City, UT Metro Area","1,087,873","1,087,808","1,091,478","1,106,800","1,123,748","1,140,025","1,151,447","1,164,912","1,184,721","1,204,205","1,218,681","1,232,696"
"San Angelo, TX Metro Area","112,966","112,968","113,422","114,513","116,071","117,519","119,233","120,390","120,535","120,365","120,834","122,027"
"San Antonio-New Braunfels, TX Metro Area","2,142,508","2,142,520","2,153,009","2,193,923","2,236,981","2,280,002","2,328,894","2,379,232","2,426,276","2,472,121","2,512,379","2,550,960"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","3,095,313","3,095,349","3,103,212","3,137,156","3,174,335","3,209,768","3,248,877","3,280,850","3,306,089","3,321,237","3,333,861","3,338,330"
"Sandpoint, ID Micro Area","40,877","40,877","40,902","40,782","40,347","40,525","41,289","41,600","42,357","43,654","44,705","45,739"
"Sandusky, OH Micro Area","77,079","77,063","76,978","76,687","76,428","76,053","75,809","75,360","74,999","74,760","74,513","74,266"
"Sanford, NC Micro Area","57,866","57,849","57,877","58,531","59,240","59,762","59,401","59,371","59,646","60,403","61,208","61,779"
"San Francisco-Oakland-Berkeley, CA Metro Area","4,335,391","4,335,593","4,343,634","4,395,725","4,455,473","4,519,636","4,584,981","4,647,924","4,688,198","4,712,421","4,726,314","4,731,803"
"San Germán, PR Metro Area","137,462","137,722","137,630","136,415","135,185","133,955","132,195","130,238","128,290","125,549","121,080","121,464"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","1,836,911","1,836,951","1,841,556","1,868,031","1,894,452","1,923,664","1,949,578","1,974,501","1,987,593","1,992,674","1,993,804","1,990,660"
"San Juan-Bayamón-Caguas, PR Metro Area","2,350,126","2,350,326","2,347,932","2,322,216","2,295,419","2,269,908","2,233,776","2,195,941","2,155,066","2,104,671","2,022,139","2,023,227"
"San Luis Obispo-Paso Robles, CA Metro Area","269,637","269,597","269,802","271,058","274,160","275,696","278,227","280,077","281,803","282,481","283,354","283,111"
"Santa Cruz-Watsonville, CA Metro Area","262,382","262,350","263,147","264,858","266,340","268,816","270,861","273,503","274,396","274,856","273,841","273,213"
"Santa Fe, NM Metro Area","144,170","144,232","144,522","145,847","146,722","147,465","147,782","148,098","148,758","149,491","149,761","150,358"
"Santa Isabel, PR Micro Area","23,274","23,274","23,277","23,190","23,084","22,998","22,751","22,510","22,220","21,794","21,050","21,209"
"Santa Maria-Santa Barbara, CA Metro Area","423,895","423,947","424,231","425,453","429,699","434,601","439,045","442,229","444,340","445,298","445,780","446,499"
"Santa Rosa-Petaluma, CA Metro Area","483,878","483,861","484,755","487,421","489,993","494,073","498,560","500,863","502,547","502,469","498,643","494,336"
"Sault Ste. Marie, MI Micro Area","38,520","38,672","38,616","38,890","38,993","38,569","38,254","37,973","37,683","37,679","37,461","37,349"
"Savannah, GA Metro Area","347,611","347,597","348,640","355,582","361,745","365,103","371,275","377,827","383,153","386,394","389,453","393,353"
"Sayre, PA Micro Area","62,622","62,700","62,731","63,109","63,000","62,510","61,947","61,644","61,092","60,963","60,794","60,323"
"Scottsbluff, NE Micro Area","38,971","38,971","39,059","38,930","38,912","38,861","38,428","38,232","38,395","38,081","37,836","37,529"
"Scottsboro, AL Micro Area","53,227","53,223","53,184","53,214","53,079","52,957","52,562","52,195","51,988","51,828","51,621","51,626"
"Scottsburg, IN Micro Area","24,181","24,195","24,171","23,907","23,723","23,755","23,636","23,660","23,687","23,793","23,784","23,873"
"Scranton--Wilkes-Barre, PA Metro Area","563,631","563,604","563,740","563,676","563,704","561,495","560,146","557,734","555,722","555,655","555,215","553,885"
"Searcy, AR Micro Area","77,076","77,086","77,356","78,083","78,641","78,567","78,471","78,915","78,917","78,844","78,381","78,753"
"Seattle-Tacoma-Bellevue, WA Metro Area","3,439,809","3,439,808","3,449,241","3,503,891","3,558,829","3,612,347","3,675,160","3,739,654","3,816,355","3,885,579","3,935,179","3,979,845"
